NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"pgap 58",26.3,38.8,1.47529
"pgap 58",21.48,35.91,1.67179
"pgap 58",22.11,34.17,1.54545
"pgap 58",26.61,39.79,1.4953
"pgap 58",34.25,33.82,0.987445
"pgap 58",28.65,37.2,1.29843
"pgap 58",18.44,33.66,1.82538
"pgap 58",22.37,35.34,1.57979
"pgap 58",19.25,31.56,1.63948
"pgap 58",26.55,28.97,1.09115
"pgap 58",31.9,34.25,1.07367
"pgap 58",29.81,24.74,0.829923
"pgap 58",28.7,20.41,0.71115
"pgap 58",28.7,31.31,1.09094
"pgap 58",21.72,22.18,1.02118
"pgap 58",25.54,30.21,1.18285
"pgap 58",23.32,30.15,1.29288
"pgap 58",18.51,33.23,1.79525
"pgap 58",23.53,32.23,1.36974
"pgap 58",27.53,27.18,0.987287
