NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"pg 62",38.12,24.74,35.14,34.61,15.96
"pg 62",37.28,25.31,32.35,33.7,15.92
"pg 62",41.19,26.31,34.67,36.93,18.25
"pg 62",40.07,24.36,33.62,36.5,16.51
"pg 62",39.02,26.69,32.85,34.85,17.53
"pg 62",40.73,24.82,32.78,36.96,17.09
"pg 62",39.13,26.54,34.26,34.99,17.44
"pg 62",38.19,26.09,35.75,34.29,16.79
"pg 62",48.22,29.82,36.85,41.84,23.97
"pg 62",44.47,23.45,34.73,40.77,17.74
"pg 62",41.13,22.53,33.95,37.97,15.77
"pg 62",45.45,28.1,35.67,40.09,21.39
"pg 62",44.94,24.57,35.04,40.84,18.68
"pg 62",45.28,23.93,34.15,41.38,18.37
"pg 62",48.36,28,34.32,42.7,22.7
"pg 62",38.16,29.46,38.44,33.22,18.77
"pg 62",33.98,25.26,33.95,30.73,14.5
"pg 62",39.91,26.17,34.46,35.82,17.6
"pg 62",42.12,26.46,36.77,37.71,18.77
"pg 62",45.24,23.63,34.97,41.44,18.13
"pg 62",37.38,34.39,36.5,30.85,21.12
"pg 62",44.26,26.54,36.32,39.6,19.78
"pg 62",40.45,39.9,40.58,31.03,25.95
"pg 62",44.67,32.57,37.7,37.65,24.05
"pg 62",40.64,32.32,36.23,34.34,21.73
"pg 62",47.48,27.47,38.03,42.13,21.91
"pg 62",48.03,31.95,42.67,40.75,25.41
"pg 62",38.97,26.06,35.55,35.01,17.12
"pg 62",54.62,33.13,42.76,45.74,29.85
"pg 62",38.58,27.81,38.76,34.12,18
"pg 62",33.94,25.37,34.51,30.67,14.54
"pg 62",45.54,26.23,36.68,40.85,20.13
"pg 62",46.95,27.36,37.36,41.7,21.58
"pg 62",37.46,29.54,38.73,32.59,18.47
"pg 62",41.29,24.26,35.64,37.64,16.97
"pg 62",32.87,32.22,36.85,27.8,17.52
"pg 62",39.88,30.71,36.22,34.28,20.36
"pg 62",44.14,32.06,36.8,37.41,23.43
"pg 62",43.67,30.17,36.86,37.75,21.94
"pg 62",41.73,26.27,34.68,37.42,18.47
"pg 62",42.49,27.2,37.02,37.79,19.42
