NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"29bp 5",21.39,23.73,1.1094
"29bp 5",18.48,27.43,1.48431
"29bp 5",26.78,34.73,1.29686
"29bp 5",23.71,31.4,1.32434
"29bp 5",24.02,25.1,1.04496
"29bp 5",24.96,24.71,0.989984
"29bp 5",27.23,28.71,1.05435
"29bp 6",29.51,18.24,0.618096
"29bp 6",33.43,29.19,0.873168
"29bp 6",25.79,21.23,0.823187
"29bp 6",33.32,23.83,0.715186
"29bp 6",32.43,24.77,0.763799
"29bp 6",26.37,21.67,0.821767
"29bp 6",24.53,24,0.978394
"29bp 9",25.83,25.36,0.981804
"29bp 9",28.8,27.89,0.968403
"29bp 9",31.84,29.65,0.931219
"29bp 9",25.68,32.02,1.24688
"29bp 9",22.53,29.7,1.31824
"29bp 9",30.42,29.94,0.984221
"29bp 9",32.47,34.3,1.05636
"29bp 9",35.24,39.62,1.12429
"29bp 9",25.95,22.33,0.860501
"29bp 9",21.98,29.21,1.32894
"29bp 9",27.54,34.19,1.24147
"29bp 9",31.28,37.38,1.19501
"29bp 9",27.04,40.39,1.49371
"29bp 9",25.51,32.27,1.26499
"29bp 9",25.01,34.43,1.37665
"29bp 9",24.96,30.96,1.24038
"29bp 9",25.06,40.72,1.6249
"29bp 9",28.32,38.24,1.35028
"29bp 9",30.81,39.67,1.28757
"29bp 9",26.71,28.85,1.08012
"29bp 9",28.17,32.81,1.16471
"29bp 9",27.35,33.45,1.22303
"29bp 9",29.31,43.05,1.46878
"29bp 9",26.62,29.88,1.12246
"29bp 9",27.83,28.74,1.0327
