NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"29bp 18",46.5,25.79,37.7,41.87,20.23
"29bp 18",42.4,27.1,36.62,37.75,19.31
"29bp 2",51.06,31.35,41.29,43.6,26.57
"29bp 2",47.05,30.7,38.52,40.45,24.02
"29bp 2",45.34,31.91,36.68,38.49,23.97
"29bp 2",40.71,27.24,34.38,36.2,18.63
"29bp 2",43.23,29.9,35.32,37.47,21.55
"29bp 2",37.43,30.72,29.69,32.17,19.12
"29bp 2",45.67,27.97,34.05,40.33,21.42
"29bp 2",49.14,30.43,37.99,42.37,24.88
"29bp 2",44.02,28.21,33.89,38.79,20.81
"29bp 2",44.1,29.94,35.56,38.21,22.01
"29bp 2",49.56,29.07,38.04,43.31,24.08
"29bp 2",41.79,29.03,38.05,36.54,20.28
"29bp 2",43.09,29.05,37.38,37.67,20.93
"29bp 2",37.57,25.13,35.79,34.01,15.95
"29bp 2",42.02,27.3,36.77,37.34,19.27
"29bp 2",35,31.88,39.55,29.72,18.48
"29bp 2",32.75,25.09,31.21,29.66,13.89
"29bp 2",59.19,34.57,41.7,48.74,33.59
"29bp 2",58.13,32.8,43.22,48.86,31.49
"29bp 2",54.08,32.03,42.3,45.85,28.68
"29bp 2",43.8,26.65,33.05,39.14,19.64
"29bp 2",45.16,26.51,32.97,40.41,20.16
"29bp 2",40.15,25.08,32.36,36.36,17.02
"29bp 2",41.63,27.54,34.46,36.91,19.24
"29bp 2",42.41,27.92,33.76,37.47,19.85
"29bp 2",39.66,26.1,32.1,35.62,17.45
"29bp 2",45.32,24.88,34.66,41.12,19.07
"29bp 2",44.21,33.45,39.22,36.89,24.37
"29bp 2",48.66,32.88,41.29,40.86,26.41
"29bp 2",48.73,29.97,38.83,42.21,24.35
"29bp 2",40.25,34.51,41.92,33.17,22.81
"29bp 2",43.65,25.87,36.53,39.28,19.04
"29bp 2",40.47,28.24,37.84,35.66,19.15
"29bp 2",41.17,30.99,37.49,35.29,21.2
"29bp 2",46.48,26.87,32.98,41.46,21
"29bp 2",49.13,25.92,32.37,44.19,21.47
"29bp 2",51.76,29.07,33.1,45.24,25.15
"29bp 2",47.73,30.14,36.95,41.28,23.97
"29bp 2",51.93,28.96,41.01,45.44,25.15
"29bp 2",45.67,29.68,41.41,39.68,22.61
"29bp 2",40.34,24.78,32.56,36.63,16.91
"29bp 2",36.45,24.86,27.22,33.07,15.32
"29bp 2",42.96,29.11,34.36,37.53,20.9
"29bp 2",52.99,32.68,41,44.6,28.61
"29bp 2",57.16,35.18,42.5,46.72,32.93
"29bp 2",49.17,29.37,35.64,42.85,24.12
"29bp 2",51.96,28.86,37.4,45.51,25.08
"29bp 2",45.49,27.31,37.98,40.42,20.87
"29bp 2",55.63,33.13,45.52,46.59,30.4
"29bp 2",51.77,29.45,41.2,45.08,25.45
"29bp 2",50,36.57,44.3,40.16,29.79
"29bp 2",49.18,34.05,42.57,40.74,27.54
"29bp 2",47.79,34.43,42.27,39.42,27.02
"29bp 2",49.13,32.56,44.54,41.41,26.44
"29bp 2",45.27,28.03,39.11,39.96,21.27
"29bp 2",47.08,29.04,39.15,41.17,22.85
"29bp 2",47.67,27.81,39.83,42.16,22.24
"29bp 2",49.2,34.76,41.81,40.42,28.05
"29bp 2",49.34,31.49,40.04,42.07,25.77
"29bp 2",45.46,31.02,37.78,38.96,23.43
"29bp 2",50.32,26.43,39.5,45.06,22.4
"29bp 2",51.62,30.44,41.61,44.51,26.16
"29bp 2",39.92,21.43,35.7,37.16,14.58
"29bp 2",40.97,28.97,38.42,35.84,19.84
"29bp 5",40.8,25.06,33.86,36.96,17.28
"29bp 5",37.5,26.65,33.12,33.52,16.82
"29bp 5",39.08,31.91,37.38,33.18,20.66
"29bp 5",44.3,37.99,41.25,34.91,27.27
"29bp 5",44.22,33.17,36.9,37.01,24.19
"29bp 5",45.66,33.67,41.6,38,25.32
"29bp 5",42.72,35.14,37.14,34.93,24.58
"29bp 5",41.24,39.43,42.48,31.85,26.19
"29bp 5",44.46,43.77,43.82,32.1,30.76
"29bp 5",47.15,25.24,35.01,42.65,20.11
"29bp 5",42.61,24.05,34.15,38.91,17.36
"29bp 5",44.32,23.64,36.78,40.6,17.77
"29bp 5",43.6,22.52,33.67,40.28,16.7
"29bp 5",44.02,24.16,36.17,40.17,18.02
"29bp 5",48.13,25.99,37.29,43.26,21.09
"29bp 5",43.29,23.76,36.11,39.62,17.44
"29bp 5",43.96,29.32,35.57,38.33,21.53
"29bp 5",40.41,31.5,35.94,34.46,21.12
"29bp 5",46.74,33.08,42.96,39.16,25.51
"29bp 5",50.38,29.48,40.84,43.85,24.79
"29bp 5",53.07,36.02,45.63,42.92,31.21
"29bp 5",50.12,32.16,41.97,42.43,26.67
"29bp 5",46.95,35.44,43.97,38.25,27.22
"29bp 5",48.14,41.22,49.65,36.21,31.72
"29bp 5",50.1,36.15,45.94,40.45,29.55
"29bp 5",49.04,31.91,42.18,41.63,25.93
"29bp 5",47.58,29.12,38.67,41.57,23.16
"29bp 5",47.77,34.2,41.63,39.51,26.85
"29bp 5",46.51,25.52,37.88,41.97,20.04
"29bp 5",42.25,29.19,39.17,36.88,20.6
"29bp 5",42.01,30.41,39.71,36.23,21.26
"29bp 5",46.74,31.18,40.91,39.99,24.2
"29bp 5",47.91,26.83,36.84,42.76,21.62
"29bp 5",47.56,26.41,37.58,42.6,21.15
"29bp 5",41.51,25.78,31.59,37.37,18.05
"29bp 6",38.84,28.76,34.64,34.05,18.69
"29bp 6",45.38,28.46,36.86,39.89,21.62
"29bp 6",50.23,33.18,40.9,42.05,27.49
"29bp 6",41.29,28.08,33.94,36.43,19.44
"29bp 6",40.76,28.6,34.08,35.79,19.51
"29bp 6",38.2,26.72,35.69,34.12,17.18
"29bp 6",43,29.98,32.82,37.25,21.49
"29bp 6",45.93,32.88,34.33,38.57,24.93
"29bp 6",43.81,26.04,33.58,39.36,19.23
"29bp 6",43.77,24.85,35.79,39.72,18.39
"29bp 6",40.95,35.28,44.09,33.43,23.65
"29bp 6",45.24,27.14,36.6,40.25,20.64
"29bp 6",44.54,28.13,38.59,39.28,21
"29bp 6",49.58,28.85,38.73,43.42,23.92
"29bp 6",45.1,33.64,39.55,37.55,24.99
"29bp 6",50.96,32.41,42.62,43.02,27.31
"29bp 6",49.5,32.46,43.49,41.77,26.57
"29bp 6",46.88,27.85,34.97,41.45,21.9
"29bp 6",41.7,25.36,39.5,37.68,17.86
"29bp 6",48.18,36.32,45.04,38.82,28.54
"29bp 6",46.87,30.6,39.54,40.35,23.86
"29bp 6",39.9,31.46,36.05,34.04,20.82
"29bp 6",40.06,27.57,34.27,35.51,18.54
"29bp 6",51.71,31.21,35.6,44.23,26.8
"29bp 6",51.02,29.52,36.28,44.4,25.14
"29bp 6",43.02,25.83,35.41,38.72,18.75
"29bp 6",43.36,22.72,33.45,39.99,16.75
"29bp 6",42.09,24.18,29.71,38.39,17.24
"29bp 6",40.48,22.12,30.46,37.5,15.25
"29bp 6",48.16,26.08,35.39,43.26,21.17
"29bp 6",48.42,29.31,33.78,42.23,23.7
"29bp 6",47.67,24.96,34.25,43.21,20.11
"29bp 6",49.05,31.94,36.41,41.63,25.95
"29bp 6",47.75,28.2,35.92,42.08,22.56
"29bp 6",50.36,32.84,38.59,42.31,27.31
"29bp 6",53.17,29.6,36.46,46.23,26.26
"29bp 9",46.3,27.24,37.46,41.16,21.19
"29bp 9",41.03,25.33,32.91,37.09,17.55
"29bp 9",40.12,28.06,27.65,35.41,18.87
"29bp 9",40.9,27.53,32.43,36.27,18.91
"29bp 9",44.62,35.15,34.05,36.49,25.69
"29bp 9",48.53,28.81,34.78,42.53,23.39
"29bp 9",40.59,32.72,40.89,34.15,21.94
"29bp 9",47.37,31.39,38.71,40.43,24.67
"29bp 9",44.98,31.8,41.07,38.23,23.7
"29bp 9",46.93,29.25,41.07,40.94,22.93
"29bp 9",46.21,25.62,37.24,41.67,19.98
"29bp 9",47.69,27.38,39.97,42.34,21.93
"29bp 9",49.27,31.28,41.03,42.11,25.58
"29bp 9",44.5,25.26,37.55,40.25,18.99
"29bp 9",46.91,31.85,38.09,39.85,24.75
"29bp 9",46.7,25.52,34.65,42.15,20.12
"29bp 9",35.1,26.08,32.09,31.53,15.43
"29bp 9",34.83,21.91,30.16,32.31,13
"29bp 9",34.88,29.11,33.15,30.47,16.97
"29bp 9",35.71,29.64,32.44,31.04,17.66
"29bp 9",46.43,28.17,34.51,40.93,21.92
"29bp 9",40.88,24.17,28.06,37.3,16.74
"29bp 9",44.43,27.68,32.1,39.34,20.64
"29bp 9",44.97,24.99,33.11,40.76,19
"29bp 9",41.64,26.66,35.06,37.22,18.68
"29bp 9",42.76,30.97,38.29,36.66,22
"29bp 9",44.95,28.43,39.05,39.52,21.4
"29bp 9",47.45,33.94,41.73,39.37,26.49
"29bp 9",47.56,35.72,43.18,38.61,27.77
"29bp 9",48.8,30.13,40.21,42.2,24.5
"29bp 9",48.92,32.78,39.93,41.13,26.49
"29bp 9",50.01,28.59,39.67,43.92,23.93
"29bp 9",49.76,29.86,39,43.16,24.77
"29bp 9",49.29,32.46,41.95,41.59,26.45
"29bp 9",46.39,30.46,40.23,39.98,23.52
"29bp 9",44.51,28.76,39.28,39.02,21.42
"29bp 9",43.46,31.88,41.02,36.91,22.95
"29bp 9",43.06,35.29,44.16,35.15,24.88
"29bp 9",40.39,36.36,40.18,32.52,23.94
"29bp 9",47.08,33.77,43.13,39.14,26.17
"29bp 9",50.2,29.6,38.72,43.65,24.79
"29bp 9",44.32,24.03,33.79,40.48,18.05
"29bp 9",46.19,30.66,36.68,39.73,23.55
"29bp 9",47.49,28.15,34.7,41.88,22.41
"29bp 9",42.85,22.76,32.14,39.51,16.58
"29bp 9",52.87,38.88,43.27,41.16,33.18
"29bp 9",50.55,33.21,38.7,42.29,27.68
"29bp 9",53.15,36.36,42.51,42.8,31.51
"29bp 9",45.74,25.77,35.59,41.19,19.89
"29bp 9",50.88,28.51,38.42,44.71,24.28
