NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"bgal A37",21.12,23.64,1.11932
"bgal A37",24.86,22.64,0.9107
"bgal A37",23.54,23.56,1.00085
"bgal A37",20.09,25.01,1.2449
"bgal A37",24.81,22.65,0.912938
"bgal A37",21.62,26.4,1.22109
"bgal A37",23.16,20.38,0.879965
"bgal A37",24.12,22.24,0.922056
"bgal A37",22.29,19.3,0.865859
"bgal A37",23.09,20.19,0.874404
